CO_MUNIC;DESCRICAO_MUNIC;CO_UF;DESCRICAO_UF;SIGLA_UF;CO_REGIAO;DESCRICAO_REGIAO;SIGLA_REGIAO
1100015;ALTA FLORESTA D´OESTE;11;Rondônia;RO;1;Região Norte;NO
1100023;ARIQUEMES;11;Rondônia;RO;1;Região Norte;NO
1100031;CABIXI;11;Rondônia;RO;1;Região Norte;NO
1100049;CACOAL;11;Rondônia;RO;1;Região Norte;NO
1100056;CEREJEIRAS;11;Rondônia;RO;1;Região Norte;NO
1100064;COLORADO DO OESTE;11;Rondônia;RO;1;Região Norte;NO
1100072;CORUMBIARA;11;Rondônia;RO;1;Região Norte;NO
1100080;COSTA MARQUES;11;Rondônia;RO;1;Região Norte;NO
1100098;ESPIGAO D´OESTE;11;Rondônia;RO;1;Região Norte;NO
1100106;GUAJARA-MIRIM;11;Rondônia;RO;1;Região Norte;NO
1100114;JARU;11;Rondônia;RO;1;Região Norte;NO
1100122;JI-PARANA;11;Rondônia;RO;1;Região Norte;NO
1100130;MACHADINHO D´OESTE;11;Rondônia;RO;1;Região Norte;NO
1100148;NOVA BRASILANDIA D´OESTE;11;Rondônia;RO;1;Região Norte;NO
1100155;OURO PRETO DO OESTE;11;Rondônia;RO;1;Região Norte;NO
1100189;PIMENTA BUENO;11;Rondônia;RO;1;Região Norte;NO
1100205;PORTO VELHO;11;Rondônia;RO;1;Região Norte;NO
1100254;PRESIDENTE MEDICI;11;Rondônia;RO;1;Região Norte;NO
1100262;RIO CRESPO;11;Rondônia;RO;1;Região Norte;NO
1100288;ROLIM DE MOURA;11;Rondônia;RO;1;Região Norte;NO
1100296;SANTA LUZIA D´OESTE;11;Rondônia;RO;1;Região Norte;NO
1100304;VILHENA;11;Rondônia;RO;1;Região Norte;NO
1100320;SAO MIGUEL DO GUAPORE;11;Rondônia;RO;1;Região Norte;NO
1100338;NOVA MAMORE;11;Rondônia;RO;1;Região Norte;NO
1100346;ALVORADA D´OESTE;11;Rondônia;RO;1;Região Norte;NO
1100379;ALTO ALEGRE DO PARECIS;11;Rondônia;RO;1;Região Norte;NO
1100403;ALTO PARAISO;11;Rondônia;RO;1;Região Norte;NO
1100452;BURITIS;11;Rondônia;RO;1;Região Norte;NO
1100502;NOVO HORIZONTE DO OESTE;11;Rondônia;RO;1;Região Norte;NO
1100601;CACAULANDIA;11;Rondônia;RO;1;Região Norte;NO
1100700;CAMPO NOVO DE RONDONIA;11;Rondônia;RO;1;Região Norte;NO
1100809;CANDEIAS DO JAMARI;11;Rondônia;RO;1;Região Norte;NO
1100908;CASTANHEIRAS;11;Rondônia;RO;1;Região Norte;NO
1100924;CHUPINGUAIA;11;Rondônia;RO;1;Região Norte;NO
1100940;CUJUBIM;11;Rondônia;RO;1;Região Norte;NO
1101005;GOVERNADOR JORGE TEIXEIRA;11;Rondônia;RO;1;Região Norte;NO
1101104;ITAPUA DO OESTE;11;Rondônia;RO;1;Região Norte;NO
1101203;MINISTRO ANDREAZZA;11;Rondônia;RO;1;Região Norte;NO
1101302;MIRANTE DA SERRA;11;Rondônia;RO;1;Região Norte;NO
1101401;MONTE NEGRO;11;Rondônia;RO;1;Região Norte;NO
1101435;NOVA UNIAO;11;Rondônia;RO;1;Região Norte;NO
1101450;PARECIS;11;Rondônia;RO;1;Região Norte;NO
1101468;PIMENTEIRAS DO OESTE;11;Rondônia;RO;1;Região Norte;NO
1101476;PRIMAVERA DE RONDONIA;11;Rondônia;RO;1;Região Norte;NO
1101484;SAO FELIPE D OESTE;11;Rondônia;RO;1;Região Norte;NO
1101492;SAO FRANCISCO DO GUAPORE;11;Rondônia;RO;1;Região Norte;NO
1101500;SERINGUEIRAS;11;Rondônia;RO;1;Região Norte;NO
1101559;TEIXEIROPOLIS;11;Rondônia;RO;1;Região Norte;NO
1101609;THEOBROMA;11;Rondônia;RO;1;Região Norte;NO
1101708;URUPA;11;Rondônia;RO;1;Região Norte;NO
1101757;VALE DO ANARI;11;Rondônia;RO;1;Região Norte;NO
1101807;VALE DO PARAISO;11;Rondônia;RO;1;Região Norte;NO
1200013;ACRELANDIA;12;Acre;AC;1;Região Norte;NO
1200054;ASSIS BRASIL;12;Acre;AC;1;Região Norte;NO
1200104;BRASILEIA;12;Acre;AC;1;Região Norte;NO
1200138;BUJARI;12;Acre;AC;1;Região Norte;NO
1200179;CAPIXABA;12;Acre;AC;1;Região Norte;NO
1200203;CRUZEIRO DO SUL;12;Acre;AC;1;Região Norte;NO
1200252;EPITACIOLANDIA;12;Acre;AC;1;Região Norte;NO
1200302;FEIJO;12;Acre;AC;1;Região Norte;NO
1200328;JORDAO;12;Acre;AC;1;Região Norte;NO
1200336;MANCIO LIMA;12;Acre;AC;1;Região Norte;NO
1200344;MANOEL URBANO;12;Acre;AC;1;Região Norte;NO
1200351;MARECHAL THAUMATURGO;12;Acre;AC;1;Região Norte;NO
1200385;PLACIDO DE CASTRO;12;Acre;AC;1;Região Norte;NO
1200393;PORTO WALTER;12;Acre;AC;1;Região Norte;NO
1200401;RIO BRANCO;12;Acre;AC;1;Região Norte;NO
1200427;RODRIGUES ALVES;12;Acre;AC;1;Região Norte;NO
1200435;SANTA ROSA DO PURUS;12;Acre;AC;1;Região Norte;NO
1200450;SENADOR GUIOMARD;12;Acre;AC;1;Região Norte;NO
1200500;SENA MADUREIRA;12;Acre;AC;1;Região Norte;NO
1200609;TARAUACA;12;Acre;AC;1;Região Norte;NO
1200708;XAPURI;12;Acre;AC;1;Região Norte;NO
1200807;PORTO ACRE;12;Acre;AC;1;Região Norte;NO
1300029;ALVARAES;13;Amazonas;AM;1;Região Norte;NO
1300060;AMATURA;13;Amazonas;AM;1;Região Norte;NO
1300086;ANAMA;13;Amazonas;AM;1;Região Norte;NO
1300102;ANORI;13;Amazonas;AM;1;Região Norte;NO
